# Created by Octave 2.0.17, Thu Sep 28 15:51:03 2006 <sugaya@raspberry>
# name: DATA2
# type: matrix
# rows: 25
# columns: 2

-1.8901538671742247e+02	-1.7779354229874090e+02	
-1.7186373811777537e+02	-3.0061991298005115e+01	
-1.5734112749553006e+02	9.3191294874447166e+01	
-1.8045744401641502e+02	1.3841252267734524e+02	
-2.1219018594811425e+02	1.9926008640987044e+02	
-9.4693163270641378e+01	-1.7768415265681924e+02	
-8.6049080533855530e+01	-2.9676771655706169e+01	
-7.8611264431911493e+01	9.3283378784033445e+01	
-9.0498331067404692e+01	1.3835805702053935e+02	
-1.0622655832796997e+02	1.9938784824327749e+02	
2.8675158809831100e-03	-1.7773535959077819e+02	
2.5023386595172923e-02	-2.9941433191368784e+01	
-7.2604686715912012e-02	9.3296955478206442e+01	
1.8934819439331985e-01	1.3829848271799136e+02	
-8.2148622939037338e-02	1.9923653816734597e+02	
9.4606707145177467e+01	-1.7761932518149752e+02	
8.5785868856675833e+01	-2.9975382249718294e+01	
7.8608009628300692e+01	9.3269811262236331e+01	
9.0239332246767759e+01	1.3835119901267697e+02	
1.0614938772853625e+02	1.9943675506026315e+02	
1.8929686204075855e+02	-1.7770589243678427e+02	
1.7182788473217141e+02	-2.9786553706060992e+01	
1.5727895776302410e+02	9.3195911743123588e+01	
1.8088896548641554e+02	1.3832941344219796e+02	
2.1214792005082131e+02	1.9928592834897805e+02	
