# Created by Octave 2.0.17, Thu Sep 28 15:51:03 2006 <sugaya@raspberry>
# name: DATA2
# type: matrix
# rows: 25
# columns: 2

-1.8921415777319439e+02		-1.7780314780769152e+02		
-1.7180143569198427e+02		-2.9833006228475472e+01		
-1.5732350012539519e+02		9.3197853942128830e+01		
-1.8064705218787296e+02		1.3838367049434402e+02		
-2.1208983248401677e+02		1.9929925052894998e+02		
-9.4607078886597193e+01		-1.7780314780769152e+02		
-8.5900717845992133e+01		-2.9833006228475472e+01		
-7.8661750062697593e+01		9.3197853942128830e+01		
-9.0323526093936479e+01		1.3838367049434402e+02		
-1.0604491624200838e+02		1.9929925052894998e+02		
0.0000000000000000e+00		-1.7780314780769152e+02		
0.0000000000000000e+00		-2.9833006228475472e+01		
0.0000000000000000e+00		9.3197853942128830e+01		
0.0000000000000000e+00		1.3838367049434402e+02		
0.0000000000000000e+00		1.9929925052894998e+02		
9.4607078886597193e+01		-1.7780314780769152e+02		
8.5900717845992133e+01		-2.9833006228475472e+01		
7.8661750062697593e+01		9.3197853942128830e+01		
9.0323526093936479e+01		1.3838367049434402e+02		
1.0604491624200838e+02		1.9929925052894998e+02		
1.8921415777319439e+02		-1.7780314780769152e+02		
1.7180143569198427e+02		-2.9833006228475472e+01		
1.5732350012539519e+02		9.3197853942128830e+01		
1.8064705218787296e+02		1.3838367049434402e+02		
2.1208983248401677e+02		1.9929925052894998e+02		
